ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,OccupancyRate,Timestamp,Hour,DayOfWeek,Load,OccupancyRounded,OccupancyRatio,Next_Price_01,Next_price_02
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,0.0,1,False,04-10-2016,07:59,0.105719237,04-10-2016 07:59,7,1,0,61,0.105719237,11.05719237,11.05705871
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,0.0,1,False,04-10-2016,08:25,0.110918544,04-10-2016 08:25,8,1,0,64,0.110918544,11.10918544,11.1058105
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,0.0,2,False,04-10-2016,08:59,0.13864818,04-10-2016 08:59,8,1,0,80,0.13864818,11.3864818,11.47302531
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,0.0,2,False,04-10-2016,09:32,0.185441941,04-10-2016 09:32,9,1,0,107,0.185441941,11.85441941,11.90909744
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,0.0,2,False,04-10-2016,09:59,0.259965338,04-10-2016 09:59,9,1,0,150,0.259965338,12.59965338,12.60302924
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,0.0,3,False,04-10-2016,10:26,0.306759099,04-10-2016 10:26,10,1,0,177,0.306759099,13.06759099,13.14811977
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,1.0,6,False,04-10-2016,10:59,0.379549393,04-10-2016 10:59,10,1,0,219,0.379549393,13.79549393,14.17582363
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,,5,False,04-10-2016,11:25,0.428076256,04-10-2016 11:25,11,1,0,247,0.428076256,14.28076256,15.15295052
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,,5,False,04-10-2016,11:59,0.448873484,04-10-2016 11:59,11,1,0,259,0.448873484,14.48873484,15.09271821
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,1.0,8,False,04-10-2016,12:29,0.461005199,04-10-2016 12:29,12,1,0,266,0.461005199,14.61005199,14.99588812
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,1.0,7,False,04-10-2016,13:02,0.466204506,04-10-2016 13:02,13,1,0,269,0.466204506,14.66204506,14.37476368
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,1.0,7,False,04-10-2016,13:29,0.455805893,04-10-2016 13:29,13,1,0,263,0.455805893,14.55805893,12.84714209
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,1.0,5,False,04-10-2016,14:02,0.412478336,04-10-2016 14:02,14,1,0,238,0.412478336,14.12478336,12.69004539
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,,3,False,04-10-2016,14:29,0.372616984,04-10-2016 14:29,14,1,0,215,0.372616984,13.72616984,10.94431212
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,,3,False,04-10-2016,14:57,0.332755633,04-10-2016 14:57,14,1,0,192,0.332755633,13.32755633,11.32833878
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,0.0,2,False,04-10-2016,15:30,0.285961872,04-10-2016 15:30,15,1,0,165,0.285961872,12.85961872,12.13162572
16,BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,0.0,1,False,04-10-2016,16:04,0.280762565,04-10-2016 16:04,16,1,0,162,0.280762565,12.80762565,12.48945335
17,BHMBCCMKT01,577,26.14453614,91.73617216,143,car,,2,False,04-10-2016,16:31,0.247833622,04-10-2016 16:31,16,1,0,143,0.247833622,12.47833622,13.51501243
18,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,0.0,1,False,05-10-2016,07:57,0.093587522,05-10-2016 07:57,7,2,0,54,0.093587522,10.93587522,13.70470542
19,BHMBCCMKT01,577,26.14453614,91.73617216,59,car,,1,False,05-10-2016,08:30,0.102253033,05-10-2016 08:30,8,2,0,59,0.102253033,11.02253033,13.57559864
20,BHMBCCMKT01,577,26.14453614,91.73617216,71,car,0.0,2,False,05-10-2016,09:04,0.12305026,05-10-2016 09:04,9,2,0,71,0.12305026,11.2305026,13.53152182
